Date,Overnight_Return,Overnight_Volatility,Futures_Last_Price
2025-07-30,0.004229399260155198,0.0025288637758332155,6442.5
2025-07-31,-0.012397158343423698,0.0027613461991739066,6362.75
2025-08-01,-0.015510666642198023,0.002637292766548045,6264.5
2025-08-03,0.0010772137027212914,8.485899471053678e-05,6271.25
2025-08-04,0.014710368263116225,0.0017664265207292967,6364.0
2025-08-05,-0.007432351479605748,0.001604353120835989,6316.75
2025-08-06,0.010061448873832868,0.0015347287013704922,6380.5
2025-08-07,-0.00047858800934752477,0.0031552557282390264,6377.0
2025-08-08,0.005722763555135346,0.0015367451636031583,6413.5
2025-08-10,0.00019587884652172427,0.001405032918114512,6414.75
2025-08-11,-0.0024904188621973633,0.000981011486212129,6398.75
2025-08-12,0.011314968737913045,0.0025172828794486984,6471.25
2025-08-13,0.0024730947067367337,0.0007039908508011733,6487.25
2025-08-14,0.0005022388197182259,0.00044291333510481534,6490.5
2025-08-15,-0.0029270843483455433,0.00083968351601902,6471.5
2025-08-17,0.0013904820895282999,0.0007103841943604033,6480.5
2025-08-18,-0.0013850482162920397,0.0008136839594591514,6471.5
2025-08-19,-0.006839654467744705,0.0016845464670531564,6427.25
2025-08-20,-0.002480509626295313,0.0012971036408748464,6411.25
2025-08-21,-0.0020242507413525956,0.000874713569845355,6398.25
2025-08-22,0.013288107122737314,0.00375602765407989,6483.25
2025-08-24,-3.856090695253389e-05,2.72666787948402e-05,6483.0
2025-08-25,-0.0035493523599726684,0.0007812171319695801,6460.0
2025-08-26,0.004067714058783589,0.0013055563967914365,6486.25
2025-08-27,-0.0015767159263919694,0.0008210640972529274,6476.0
2025-08-28,0.0058979495125108805,0.001052424319111786,6514.25
2025-08-29,-0.006187176480528356,0.0012420868821406829,6474.0
2025-09-02,-0.005991558807763919,0.0031308770090847622,6435.0
2025-09-03,0.003239015427067282,0.0016609135172127255,6455.75
2025-09-04,0.009265894119286355,0.0013064729526887126,6515.75
2025-09-05,-0.004130119060751003,0.001895362932029135,6488.75
2025-09-07,0.0025028522852499346,0.0004097015358715385,6505.0
2025-09-08,0.0006944718263576233,0.000645812013168038,6509.5
2025-09-09,0.003108389910296605,0.0005424517376033647,6529.75
2025-09-10,0.002411208643686269,0.0005184959436387637,6545.5
2025-09-11,0.007254526829310715,0.001780270787686665,6593.0
2025-09-12,-0.0006757050005551379,0.0010844500329794306,6588.5
2025-09-14,-7.564802904591605e-05,0.000697437608628308,6588.0
2025-09-15,0.003982157091771743,0.0008769094716357092,6614.25
2025-09-16,0.008763732033086113,0.0020904244360101755,6672.25
2025-09-17,0.0016584975471543029,0.0012615754041471654,6683.25
2025-09-18,0.002961070273363453,0.0011947152511790904,6703.0
2025-09-19,0.0029138446320168265,0.0011979277906949922,6722.5
2025-09-21,-0.0011530774732950722,0.0004468722037860783,6714.75
2025-09-22,0.005412444386700965,0.001984072993826122,6751.0
2025-09-23,-0.004907813636170211,0.0020219764807234597,6717.75
2025-09-24,-0.002857215492336529,0.001316440429686492,6698.5
2025-09-25,-0.005904127099402023,0.0011328538448193315,6659.0
2025-09-26,0.005631703889331985,0.001573116451240472,6696.5
2025-09-28,0.0013809203738677223,0.0003962571616063125,6705.75
2025-09-29,0.0008254502721305457,0.0008917771835581165,6711.25
2025-09-30,0.0018342949699517996,0.0012284328628028374,6723.5
2025-10-01,0.005394999001806955,0.0027838734824383814,6759.5
2025-10-02,0.0014434490999071237,0.0005352303227371414,6769.25
2025-10-03,-0.0007719607605030099,0.0008040565654829778,6764.0
2025-10-05,0.002143156531623447,0.0010980529087829755,6778.5
2025-10-06,0.0017338958221687628,0.0005566338629148108,6790.25
2025-10-07,-0.004530006374441453,0.0015649023324007508,6759.5
2025-10-08,0.0073044822089799455,0.0009542005216777534,6809.0
2025-10-09,-0.0028891492320979317,0.001479630163500893,6789.25
2025-10-10,-0.02875776876968439,0.005748418622895071,6595.25
2025-10-12,0.011050270534540552,0.004944810587342045,6668.25
2025-10-13,0.003450862704301727,0.0010157419276940565,6691.25
2025-10-14,-0.00023936026994297865,0.003730997343978609,6689.0
2025-10-15,0.00388553890765575,0.0008939825185321527,6715.0
2025-10-16,-0.009478331575275223,0.002861839015150773,6651.25
2025-10-17,0.007832011524451565,0.005090094148464673,6702.5
2025-10-19,0.00048783733529145223,0.002450769359162997,6705.75
2025-10-20,0.010753896557878284,0.002188120170446107,6778.0
2025-10-21,-0.001214723522760086,0.0006700370696528831,6769.75
2025-10-22,-0.006296286909063253,0.002301920234065094,6727.0
2025-10-23,0.007984505984857115,0.0018532991150559171,6780.75
2025-10-24,0.006820659186672184,0.0018855882771396178,6827.0
2025-10-26,0.006409577470336658,0.004789497683478884,6870.75
2025-10-27,0.005844948790494575,0.0006254633817103136,6911.0
2025-10-28,0.002431508641859148,0.0012303303007281726,6927.75
2025-10-29,-0.0007840646601025014,0.0012030571643876795,6922.25
2025-10-30,-0.0033839939495394766,0.0027381387710157237,6898.5
2025-10-31,-0.003550216934001371,0.0010883057616819325,6874.0
2025-11-02,0.0026913005528077516,,6892.5
2025-11-03,-0.0023557101921912738,0.0008039264258566292,6876.25
2025-11-04,-0.012124381729923028,0.001447725581604111,6793.25
2025-11-05,0.00615670154635839,0.0030529212407397624,6834.75
2025-11-06,-0.010198142617373951,0.002822312701894338,6765.0
2025-11-07,-0.0016065022779664373,0.0029794147903036044,6753.75
2025-11-09,0.004664075513603594,,6785.25
2025-11-10,0.011296338868598155,0.0010601601071292385,6862.25
2025-11-11,0.0013261955284706861,0.0014889238233657261,6871.25
2025-11-12,-0.0018844689188781683,0.0011423784173722937,6858.25
