Date,Close,High,Low,Open,Volume,Day Change %,L1_Close,L1_Day Change %
2025-07-30,6362.89990234375,6396.5400390625,6336.3798828125,6381.22998046875,5375070000,-0.2872499217408478,6370.85986328125,-0.5426524406744261
2025-07-31,6339.39013671875,6427.02001953125,6327.64013671875,6427.02001953125,6077080000,-1.3634605547547558,6362.89990234375,-0.2872499217408478
2025-08-01,6238.009765625,6287.27978515625,6212.68994140625,6287.27978515625,5827150000,-0.7836460474937422,6339.39013671875,-1.3634605547547558
2025-08-04,6329.93994140625,6330.68994140625,6271.7099609375,6271.7099609375,4842580000,0.9284546133578814,6238.009765625,-0.7836460474937422
2025-08-05,6299.18994140625,6346.0,6289.3701171875,6336.6298828125,5517410000,-0.5908494278291722,6329.93994140625,0.9284546133578814
2025-08-06,6345.06005859375,6352.830078125,6301.10986328125,6309.2998046875,5408560000,0.5667864107469086,6299.18994140625,-0.5908494278291722
2025-08-07,6340.0,6389.7099609375,6310.31982421875,6374.31982421875,5306090000,-0.5384076288164018,6345.06005859375,0.5667864107469086
2025-08-08,6389.4501953125,6395.16015625,6355.22021484375,6355.22021484375,4769910000,0.5386120277752103,6340.0,-0.5384076288164018
2025-08-11,6373.4501953125,6407.25,6364.06005859375,6389.669921875,4652400000,-0.25384294902263815,6389.4501953125,0.5386120277752103
2025-08-12,6445.759765625,6446.5498046875,6385.759765625,6395.169921875,5135300000,0.7910633238525047,6373.4501953125,-0.25384294902263815
2025-08-13,6466.580078125,6480.27978515625,6445.02001953125,6462.669921875,5195950000,0.06050372829292751,6445.759765625,0.7910633238525047
2025-08-14,6468.5400390625,6473.919921875,6441.06982421875,6453.4599609375,4462050000,0.23367431139697195,6466.580078125,0.06050372829292751
2025-08-15,6449.7998046875,6481.33984375,6441.85009765625,6477.3798828125,4575060000,-0.4257906533810495,6468.5400390625,0.23367431139697195
2025-08-18,6449.14990234375,6455.35009765625,6437.7001953125,6445.02001953125,4162290000,0.06407866538792177,6449.7998046875,-0.4257906533810495
2025-08-19,6411.3701171875,6456.47998046875,6400.22021484375,6446.240234375,4377440000,-0.5409372893295662,6449.14990234375,0.06407866538792177
2025-08-20,6395.77978515625,6408.39990234375,6343.85986328125,6406.6201171875,4470390000,-0.1692051632992545,6411.3701171875,-0.5409372893295662
2025-08-21,6370.169921875,6393.64990234375,6352.7099609375,6380.830078125,4013560000,-0.16706535230495395,6395.77978515625,-0.1692051632992545
2025-08-22,6466.91015625,6478.89013671875,6384.58984375,6384.58984375,5046860000,1.2893594500919268,6370.169921875,-0.16706535230495395
2025-08-25,6439.31982421875,6466.89013671875,6438.06005859375,6457.669921875,4059070000,-0.28415973374684356,6466.91015625,1.2893594500919268
2025-08-26,6465.93994140625,6468.3701171875,6429.2099609375,6435.490234375,4867680000,0.473152874486604,6439.31982421875,-0.28415973374684356
2025-08-27,6481.39990234375,6487.06005859375,6457.83984375,6462.259765625,4143680000,0.29618333853682305,6465.93994140625,0.473152874486604
2025-08-28,6501.85986328125,6508.22998046875,6466.9599609375,6483.83984375,4283760000,0.27792203332443705,6481.39990234375,0.29618333853682305
2025-08-29,6460.259765625,6491.759765625,6444.56982421875,6489.27978515625,4234840000,-0.4471993887153881,6501.85986328125,0.27792203332443705
2025-09-02,6415.5400390625,6416.5400390625,6360.580078125,6401.509765625,4784000000,0.2191713197539765,6460.259765625,-0.4471993887153881
2025-09-03,6448.259765625,6453.669921875,6416.169921875,6445.81982421875,4465360000,0.037853081109752044,6415.5400390625,0.2191713197539765
2025-09-04,6502.080078125,6502.5400390625,6445.97998046875,6456.60009765625,4670770000,0.7043951891222017,6448.259765625,0.037853081109752044
2025-09-05,6481.5,6532.64990234375,6443.97998046875,6529.080078125,5066120000,-0.7287409184091964,6502.080078125,0.7043951891222017
2025-09-08,6495.14990234375,6508.669921875,6483.2900390625,6498.08984375,5211500000,-0.045243163405592146,6481.5,-0.7287409184091964
2025-09-09,6512.60986328125,6518.22998046875,6483.080078125,6503.330078125,4798350000,0.14269282113580634,6495.14990234375,-0.045243163405592146
2025-09-10,6532.0400390625,6555.97021484375,6516.33984375,6550.2900390625,5253010000,-0.2786136169721731,6512.60986328125,0.14269282113580634
2025-09-11,6587.47021484375,6592.89013671875,6545.7998046875,6554.41015625,5426460000,0.5043941072596039,6532.0400390625,-0.2786136169721731
2025-09-12,6584.2900390625,6600.2099609375,6579.490234375,6590.66015625,4641640000,-0.0966537044314012,6587.47021484375,0.5043941072596039
2025-09-15,6615.27978515625,6619.6201171875,6602.06982421875,6603.490234375,5045020000,0.1785351437316973,6584.2900390625,-0.0966537044314012
2025-09-16,6606.759765625,6626.990234375,6600.10986328125,6624.1298828125,5359510000,-0.2622248883218595,6615.27978515625,0.1785351437316973
2025-09-17,6600.35009765625,6624.39013671875,6551.14990234375,6604.8701171875,5805340000,-0.06843464672360165,6606.759765625,-0.2622248883218595
2025-09-18,6631.9599609375,6656.7998046875,6611.89013671875,6626.85009765625,5292400000,0.07710847847693476,6600.35009765625,-0.06843464672360165
2025-09-19,6664.35986328125,6671.81982421875,6630.31005859375,6647.10986328125,9125960000,0.2595112816667782,6631.9599609375,0.07710847847693476
2025-09-22,6693.75,6698.8798828125,6648.06982421875,6654.27978515625,5642620000,0.593155324364276,6664.35986328125,0.2595112816667782
2025-09-23,6656.919921875,6699.52001953125,6645.580078125,6692.43994140625,5633620000,-0.5307484242254754,6693.75,0.593155324364276
2025-09-24,6637.97021484375,6672.66015625,6621.759765625,6669.7900390625,5459180000,-0.4770738513865208,6656.919921875,-0.5307484242254754
2025-09-25,6604.72021484375,6619.0,6569.22021484375,6608.18994140625,5874670000,-0.05250645930679208,6637.97021484375,-0.4770738513865208
2025-09-26,6643.7001953125,6648.97021484375,6604.43017578125,6615.3798828125,5103110000,0.4280980533495794,6604.72021484375,-0.05250645930679208
