Date,Overnight_Return,Overnight_Volatility,Futures_Last_Price
2025-07-30,-0.0005064380946335767,0.0003536730224027731,6412.25
2025-07-31,0.006947856360858151,0.002083149519837075,6456.75
2025-08-01,-0.022167696820757588,0.0027641553129588484,6314.75
2025-08-02,-0.00795214717093351,0.005146915099794579,6264.5
2025-08-04,0.006289603353178297,0.0006581312676883364,6304.0
2025-08-05,0.00977582348050332,0.001890902417953234,6365.75
2025-08-06,-0.003990668054717261,0.0017967363981486809,6340.25
2025-08-07,0.012246687814448487,0.0014362400821814128,6418.25
2025-08-08,-0.005400915350813995,0.003066354734254295,6383.25
2025-08-09,0.004740323663253609,0.0029746715971050615,6413.5
2025-08-11,0.0008623739185651402,0.0009669559890569667,6419.0
2025-08-12,-0.0028813071243098953,0.0008143721402122443,6400.5
2025-08-13,0.012932672469106787,0.0024787440880217507,6483.5
2025-08-14,0.0005423265242929798,0.0006130952202639392,6487.0
2025-08-15,0.0007342590609238364,0.0005699865237525822,6491.75
2025-08-16,-0.0031216469482320264,0.0009721423854390381,6471.5
2025-08-18,-0.0018528724654007789,0.0007370923668073547,6459.5
2025-08-19,0.0009706668081157499,0.0007109416486767231,6465.75
2025-08-20,-0.006455793122565723,0.0017227747131054706,6424.0
2025-08-21,-0.00314382917573941,0.0013654220308967676,6403.75
2025-08-22,-0.0002654348733980294,0.001061021105572368,6402.0
2025-08-23,0.012696388989569152,0.007666505057332217,6483.25
2025-08-25,-0.0020439938344722908,0.0005478581299956873,6470.0
2025-08-26,-0.003164699740832666,0.0010990227008930956,6449.5
2025-08-27,0.005457808025768451,0.000938687177615222,6484.75
2025-08-28,0.002010914677764264,0.0010748997691671929,6497.75
2025-08-29,-0.0003010025334377886,0.0009891408759575,6495.75
2025-08-30,-0.0033451686973410277,0.0026277807589839227,6474.0
2025-09-02,-0.005552459748408123,0.002905688774012002,6438.0
2025-09-03,0.002705855095626042,0.002062144677321037,6455.25
2025-09-04,0.0023021138650251016,0.0016729945636962224,6470.0
2025-09-05,0.008209198865245626,0.0012173148401778185,6523.25
2025-09-06,-0.005281476399649931,0.004074197720437785,6488.75
2025-09-08,0.002658004937362235,0.0007124843541380999,6506.0
2025-09-09,0.0008854453518328809,0.000535917175294863,6511.75
2025-09-10,0.0036820090737277322,0.0006196751908823512,6535.75
2025-09-11,0.0018362430072615954,0.0005013049297424835,6547.75
2025-09-12,0.005468488176238129,0.0017949881807810333,6583.5
2025-09-13,0.0007655539479234363,0.0025047804231414046,6588.5
2025-09-15,0.0009109605834758394,0.0003471112968997115,6594.5
2025-09-16,0.006016388716064913,0.0009155186018550263,6634.25
2025-09-17,0.004919119094762503,0.0021243622271904725,6666.75
2025-09-18,0.007265408152124286,0.001467712776495694,6715.25
2025-09-19,-0.0032753129696705408,0.0009124881398363695,6693.25
2025-09-20,0.004367089971589522,0.001836595008758198,6722.5
2025-09-22,-0.002903103165785792,0.0005163654742076591,6703.0
2025-09-23,0.007385210732431258,0.001923717648344539,6752.5
2025-09-24,-0.003939947801474553,0.0020272548442488063,6725.75
2025-09-25,-0.005652760189036932,0.0013139550675483856,6687.75
2025-09-26,-0.003470379726196793,0.0012959605593569885,6664.5
2025-09-27,0.004802894724891926,0.0030039019936460506,6696.5
2025-09-29,0.004843471295756241,0.00041615377346445145,6729.0
2025-09-30,-0.004089357284120521,0.0008653063041865365,6701.5
2025-10-01,9.125771071605282e-05,0.0015422734897582574,6702.0
2025-10-02,0.010218108534469361,0.0025629325603241655,6770.5
2025-10-03,0.002471953951307948,0.0003459652626791092,6787.25
2025-10-04,-0.003428281250967946,0.0010847087022075594,6764.0
2025-10-06,0.003618721354569421,0.0006881949983407999,6788.5
2025-10-07,-0.0003302930041455543,0.0007725206778060568,6786.25
2025-10-08,-0.0022398830979946105,0.0011742648796944759,6771.0
2025-10-09,0.004355426655482164,0.0010319545011558992,6800.5
2025-10-10,-0.003923527935607907,0.0015680724373698675,6773.75
2025-10-11,-0.026475833785755132,0.010466754938677785,6595.25
2025-10-13,0.013078339145939366,0.00273772900932825,6681.75
2025-10-14,-0.006923134781960716,0.0017385520998630815,6635.5
2025-10-15,0.013997946510671988,0.003244989841064965,6728.5
2025-10-16,0.001157245980656696,0.0009296717034634424,6736.25
2025-10-17,-0.02157594232158966,0.0027964466914866745,6592.0
2025-10-18,0.016766537292013717,0.009874223140532967,6702.5
2025-10-20,0.002985991195489368,0.0010534069669628462,6722.5
2025-10-21,0.006854006746573993,0.002178877438609153,6768.5
2025-10-22,0.0014807401360505956,0.0007861667601990639,6778.5
2025-10-23,-0.0057676130529327185,0.002338991517037322,6739.25
