model,train_mse,test_mse
Linear Regression,0.0002363762177756273,0.0003169875288916838
Lasso,0.0002563307767950481,0.0002463168461297715
Ridge,0.0010176078034475062,0.0010134060445877683
Elastic Net,0.0002755623454545451,0.00025072575196162235
Random Forest,0.06431674622296985,0.40042649247406187
