,timestamp,close_C25,close_C26,close_H0,close_H25,close_H26,high_C25,high_C26,high_H0,high_H25,high_H26,low_C25,low_C26,low_H0,low_H25,low_H26,mean_C25,mean_C26,mean_H0,mean_H25,mean_H26,open_C25,open_C26,open_H0,open_H25,open_H26,open_interest_C25,open_interest_C26,open_interest_H0,open_interest_H25,open_interest_H26,volume_C25,volume_C26,volume_H0,volume_H25,volume_H26,wd,hour,off_hours,market_close,market_open,weekend_close_period,exp_rate_open_interest,exp_rate,relevant_date
6,2025-07-30 17:00:00-04:00,0.46,0.03,0.53,0.01,0.0,0.47,0.03,0.53,0.01,0.0,0.46,0.03,0.52,0.01,0.0,0.4603,0.03,0.5242,0.01,0.0,0.47,0.03,0.52,0.01,0.0,24849.0,4998.0,82973.0,2193.0,100.0,16152.0,376.0,57048.0,93.0,0.0,2,17,True,True,False,False,-0.05148388856065082,-0.05477671810404813,2025-07-31
7,2025-07-30 18:00:00-04:00,0.46,0.03,0.52,0.0,0.0,0.46,0.03,0.53,0.0,0.0,0.46,0.03,0.52,0.0,0.0,0.46,0.03,0.5293,0.0,0.0,0.46,0.03,0.53,0.0,0.0,24871.0,5403.0,84718.0,2193.0,100.0,22.0,405.0,1766.0,0.0,0.0,2,18,True,False,False,False,-0.050719257125476376,-0.003076062639821029,2025-07-31
8,2025-07-30 19:00:00-04:00,0.44,0.03,0.55,0.0,0.0,0.45,0.03,0.55,0.0,0.0,0.44,0.03,0.52,0.0,0.0,0.4405,0.03,0.5393,0.0,0.0,0.45,0.03,0.53,0.0,0.0,28027.0,13736.0,95867.0,2193.0,100.0,3156.0,8333.0,12792.0,0.0,0.0,2,19,True,False,False,False,-0.05122256854394188,-0.04947328818660647,2025-07-31
9,2025-07-30 20:00:00-04:00,0.45,0.0,0.55,0.0,0.0,0.45,0.0,0.55,0.0,0.0,0.45,0.0,0.54,0.0,0.0,0.45,0.0,0.5458,0.0,0.0,0.45,0.0,0.55,0.0,0.0,28175.0,13736.0,96262.0,2193.0,100.0,148.0,0.0,395.0,0.0,0.0,2,20,True,False,False,False,-0.051295111742872934,-0.06813996316758748,2025-07-31
10,2025-07-30 21:00:00-04:00,0.45,0.03,0.55,0.0,0.0,0.45,0.03,0.55,0.0,0.0,0.45,0.03,0.54,0.0,0.0,0.45,0.03,0.5442,0.0,0.0,0.45,0.03,0.54,0.0,0.0,28438.0,13836.0,96281.0,2193.0,100.0,263.0,100.0,19.0,0.0,0.0,2,21,True,False,False,False,-0.051699208900655574,-0.23315602836879432,2025-07-31
11,2025-07-30 22:00:00-04:00,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.5488,0.0,0.0,0.0,0.0,0.55,0.0,0.0,28438.0,13836.0,96417.0,2193.0,100.0,0.0,0.0,836.0,0.0,0.0,2,22,True,False,False,False,-0.05164386688495687,0.0,2025-07-31
12,2025-07-30 23:00:00-04:00,0.44,0.03,0.57,0.0,0.0,0.44,0.03,0.57,0.0,0.0,0.44,0.03,0.54,0.0,0.0,0.44,0.03,0.563,0.0,0.0,0.44,0.03,0.55,0.0,0.0,28651.0,14336.0,97469.0,2193.0,100.0,213.0,500.0,1900.0,0.0,0.0,2,23,True,False,False,False,-0.0515497260604927,-0.025201135825840038,2025-07-31
13,2025-07-31 00:00:00-04:00,0.44,0.0,0.56,0.0,0.0,0.44,0.0,0.57,0.0,0.0,0.44,0.0,0.56,0.0,0.0,0.44,0.0,0.5604,0.0,0.0,0.44,0.0,0.56,0.0,0.0,28672.0,14336.0,97594.0,2193.0,100.0,21.0,0.0,125.0,0.0,0.0,3,0,True,False,False,False,-0.05153200632108299,-0.03595890410958904,2025-07-31
14,2025-07-31 01:00:00-04:00,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.5633,0.0,0.0,0.0,0.0,0.56,0.0,0.0,28672.0,14336.0,97713.0,2193.0,100.0,0.0,0.0,119.0,0.0,0.0,3,1,True,False,False,False,-0.05148431302400099,0.0,2025-07-31
15,2025-07-31 02:00:00-04:00,0.43,0.0,0.57,0.0,0.0,0.43,0.0,0.57,0.0,0.0,0.43,0.0,0.57,0.0,0.0,0.43,0.0,0.57,0.0,0.0,0.43,0.0,0.57,0.0,0.0,28672.0,14336.0,97795.0,2193.0,100.0,5.0,0.0,255.0,0.0,0.0,3,2,True,False,False,False,-0.051451500077724234,-0.004807692307692308,2025-07-31
