model,train_mse,test_mse
Linear Regression,0.08963633606522899,0.13800259482215207
Lasso,0.12024897726728254,0.10883702870319638
Ridge,0.1008506395247304,0.13794799079038791
Elastic Net,0.1203674031207396,0.10898575713114689
Random Forest,0.020429378437097395,0.12169210632766538
