model,train_mse,test_mse,r2_score
Linear Regression,0.00023637621777564602,0.0003169875288779451,0.999243420039557
Lasso,0.0002563307767950481,0.0002463168461297715,0.9994120955156786
Ridge,0.0010176078034475062,0.0010134060445877683,0.9975812212302455
Elastic Net,0.0002755623454545567,0.00025072575196161655,0.9994015724209321
Random Forest,0.06435467584523767,0.40051783332910235,0.04405145663148757
Stacking Regressor,0.00024789263736736493,0.00028982828400908963,0.9993082432219745
